id,name,region,country,lat,lon,altitude_m,types,plan_template,maps_url,sbb_url,webcam_url,status
aeschi-terrace,Aeschi Terrace,Bernese Oberland,CH,46.61609,7.85858,723,family|food|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.61609,7.85858",https://www.sbb.ch/en,,candidate
beatenberg-panorama,Beatenberg Panorama,Bernese Oberland,CH,46.99950,7.92169,2387,viewpoint|mountain|family|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.99950,7.92169",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-01,Bernese Oberland Panorama 01,Bernese Oberland,CH,46.40496,8.22578,880,food|mountain|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.40496,8.22578",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-02,Bernese Oberland Panorama 02,Bernese Oberland,CH,46.38076,8.12594,1141,mountain|food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.38076,8.12594",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-03,Bernese Oberland Panorama 03,Bernese Oberland,CH,46.97158,8.13298,2015,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.97158,8.13298",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-04,Bernese Oberland Panorama 04,Bernese Oberland,CH,46.42241,7.59267,1912,nature|viewpoint|mountain|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.42241,7.59267",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-05,Bernese Oberland Panorama 05,Bernese Oberland,CH,46.38943,7.76311,1405,food|mountain|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.38943,7.76311",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-06,Bernese Oberland Panorama 06,Bernese Oberland,CH,46.40690,7.72778,1241,food|family|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.40690,7.72778",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-07,Bernese Oberland Panorama 07,Bernese Oberland,CH,46.55359,8.24054,1082,family|food|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.55359,8.24054",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-08,Bernese Oberland Panorama 08,Bernese Oberland,CH,46.53342,8.00436,2400,mountain|food|family|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.53342,8.00436",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-09,Bernese Oberland Panorama 09,Bernese Oberland,CH,46.85131,8.10765,1221,viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.85131,8.10765",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-10,Bernese Oberland Panorama 10,Bernese Oberland,CH,46.99211,8.11411,1089,food|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.99211,8.11411",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-11,Bernese Oberland Panorama 11,Bernese Oberland,CH,46.80059,8.15730,770,family|nature|mountain|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.80059,8.15730",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-12,Bernese Oberland Panorama 12,Bernese Oberland,CH,46.65147,7.91132,1130,family|food|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.65147,7.91132",https://www.sbb.ch/en,,candidate
bernese-oberland-panorama-13,Bernese Oberland Panorama 13,Bernese Oberland,CH,46.36568,8.10053,2124,food|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.36568,8.10053",https://www.sbb.ch/en,,candidate
blausee-overlook,Blausee Overlook,Bernese Oberland,CH,46.41844,7.57579,1876,family|nature|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.41844,7.57579",https://www.sbb.ch/en,,candidate
first-grindelwald,First Grindelwald,Bernese Oberland,CH,46.60609,7.70538,2195,food|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.60609,7.70538",https://www.sbb.ch/en,,candidate
harder-kulm,Harder Kulm,Bernese Oberland,CH,46.82963,8.25202,1255,viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.82963,8.25202",https://www.sbb.ch/en,,candidate
interlaken,Interlaken,Bernese Oberland,CH,46.68630,7.86320,568,town|nature|lake|family,Höhematte promenade with Jungfrau views | Lake Thun or Lake Brienz cruise | Harder Kulm funicular for panorama | Fondue dinner,"https://maps.google.com/?q=46.6863,7.8632",https://www.sbb.ch/en/buying/pages/fahrplan/fahrplan.xhtml?nach=Interlaken+Ost,,baseline
kandersteg-heights,Kandersteg Heights,Bernese Oberland,CH,46.73774,8.24352,1349,mountain|food|family|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.73774,8.24352",https://www.sbb.ch/en,,candidate
kleine-scheidegg,Kleine Scheidegg,Bernese Oberland,CH,46.97181,7.62144,650,family|food|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.97181,7.62144",https://www.sbb.ch/en,,candidate
lauterbrunnen-rim,Lauterbrunnen Rim,Bernese Oberland,CH,46.58418,7.96932,1669,mountain|viewpoint|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.58418,7.96932",https://www.sbb.ch/en,,candidate
lenk-betelberg,Lenk Betelberg,Bernese Oberland,CH,46.48159,7.81954,1678,mountain|food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.48159,7.81954",https://www.sbb.ch/en,,candidate
mannlichen,Männlichen,Bernese Oberland,CH,46.71755,8.21390,1313,family|nature|mountain|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.71755,8.21390",https://www.sbb.ch/en,,candidate
murren-sun-terrace,Mürren Sun Terrace,Bernese Oberland,CH,46.39689,7.71718,2205,food|family|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.39689,7.71718",https://www.sbb.ch/en,,candidate
niesen-kulm,Niesen Kulm,Bernese Oberland,CH,46.43238,8.25481,1689,food|mountain|nature,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.43238,8.25481",https://www.sbb.ch/en,,candidate
saxeten-ridge,Saxeten Ridge,Bernese Oberland,CH,46.87151,7.83435,1031,nature|family|food,Scenic stop | Short walk | Coffee or lunch and return,"https://maps.google.com/?q=46.87151,7.83435",https://www.sbb.ch/en,,candidate
schynige-platte,Schynige Platte,Bernese Oberland,CH,46.34851,8.07723,883,family|nature|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.34851,8.07723",https://www.sbb.ch/en,,candidate
wengen-panorama,Wengen Panorama,Bernese Oberland,CH,46.37062,7.60058,1885,food|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.37062,7.60058",https://www.sbb.ch/en,,candidate
bern,Bern,Canton Bern,CH,46.94800,7.44740,540,town|food|family,UNESCO old town arcade walk | Bear Park & Rosengarten viewpoint | Zytglogge clock tower | Lunch at Kornhauskeller or Altes Tramdepot,"https://maps.google.com/?q=46.9480,7.4474",https://www.sbb.ch/en/buying/pages/fahrplan/fahrplan.xhtml?nach=Bern,,baseline
zurich,Zürich,Canton Zürich,CH,47.37690,8.54170,408,town|food|lake|family,Bahnhofstrasse & Lindenhof viewpoint | Old town (Niederdorf) wander | Lake Zürich promenade | Uetliberg for sunset above the fog,"https://maps.google.com/?q=47.3769,8.5417",https://www.sbb.ch/en/buying/pages/fahrplan/fahrplan.xhtml?nach=Zürich+HB,,baseline
brunni-engelberg,Brunni Engelberg,Central Swiss Peaks,CH,46.90084,8.09789,1050,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.90084,8.09789",https://www.sbb.ch/en,,candidate
burgenstock,Bürgenstock,Central Swiss Peaks,CH,47.06068,8.10300,2287,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.06068,8.10300",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-01,Central Swiss Peaks Panorama 01,Central Swiss Peaks,CH,47.16346,8.29064,2053,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.16346,8.29064",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-02,Central Swiss Peaks Panorama 02,Central Swiss Peaks,CH,46.89952,8.16342,918,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.89952,8.16342",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-03,Central Swiss Peaks Panorama 03,Central Swiss Peaks,CH,47.13488,8.65729,1486,family|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.13488,8.65729",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-04,Central Swiss Peaks Panorama 04,Central Swiss Peaks,CH,46.76164,8.30354,1162,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.76164,8.30354",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-05,Central Swiss Peaks Panorama 05,Central Swiss Peaks,CH,46.83388,8.01918,1558,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.83388,8.01918",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-06,Central Swiss Peaks Panorama 06,Central Swiss Peaks,CH,46.88660,8.55891,1505,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.88660,8.55891",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-07,Central Swiss Peaks Panorama 07,Central Swiss Peaks,CH,47.06130,8.55271,1587,family|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.06130,8.55271",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-08,Central Swiss Peaks Panorama 08,Central Swiss Peaks,CH,46.89620,8.43226,2043,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.89620,8.43226",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-09,Central Swiss Peaks Panorama 09,Central Swiss Peaks,CH,46.77885,8.38422,2266,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.77885,8.38422",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-10,Central Swiss Peaks Panorama 10,Central Swiss Peaks,CH,46.70902,8.01161,2151,family|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.70902,8.01161",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-11,Central Swiss Peaks Panorama 11,Central Swiss Peaks,CH,46.85105,8.68948,2009,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.85105,8.68948",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-12,Central Swiss Peaks Panorama 12,Central Swiss Peaks,CH,47.04509,8.27821,1254,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.04509,8.27821",https://www.sbb.ch/en,,candidate
central-swiss-peaks-panorama-13,Central Swiss Peaks Panorama 13,Central Swiss Peaks,CH,47.01496,8.50187,1867,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.01496,8.50187",https://www.sbb.ch/en,,candidate
klewenalp,Klewenalp,Central Swiss Peaks,CH,47.25523,8.60806,1142,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.25523,8.60806",https://www.sbb.ch/en,,candidate
melchsee-frutt,Melchsee-Frutt,Central Swiss Peaks,CH,47.12295,8.40083,978,family|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.12295,8.40083",https://www.sbb.ch/en,,candidate
niederbauen,Niederbauen,Central Swiss Peaks,CH,47.10253,8.23666,1803,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.10253,8.23666",https://www.sbb.ch/en,,candidate
pilatus-krienseregg,Pilatus Krienseregg,Central Swiss Peaks,CH,46.89268,8.02853,1882,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.89268,8.02853",https://www.sbb.ch/en,,candidate
rigi-scheidegg,Rigi Scheidegg,Central Swiss Peaks,CH,46.99477,8.16913,1677,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.99477,8.16913",https://www.sbb.ch/en,,candidate
sattel-hochstuckli,Sattel Hochstuckli,Central Swiss Peaks,CH,46.91841,8.48533,2093,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.91841,8.48533",https://www.sbb.ch/en,,candidate
schwagalp,Schwägalp,Central Swiss Peaks,CH,46.90413,8.12916,1428,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.90413,8.12916",https://www.sbb.ch/en,,candidate
sorenberg-ridge,Sörenberg Ridge,Central Swiss Peaks,CH,47.18275,8.40410,1074,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.18275,8.40410",https://www.sbb.ch/en,,candidate
stanserhorn,Stanserhorn,Central Swiss Peaks,CH,47.00238,8.29199,1354,mountain|family|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.00238,8.29199",https://www.sbb.ch/en,,candidate
stoos-fronalp-traverse,Stoos Fronalp Traverse,Central Swiss Peaks,CH,47.03107,8.13502,1240,viewpoint|nature|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.03107,8.13502",https://www.sbb.ch/en,,candidate
stoos-ridge-walk,Stoos Ridge Walk,Central Swiss Peaks,CH,46.85504,8.08813,1440,family|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.85504,8.08813",https://www.sbb.ch/en,,candidate
titlis-panorama,Titlis Panorama,Central Swiss Peaks,CH,47.13917,8.45222,2231,nature|viewpoint|mountain|family,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.13917,8.45222",https://www.sbb.ch/en,,candidate
lucerne,Lucerne,Central Switzerland,CH,47.05020,8.30930,436,town|lake|food|family,Chapel Bridge & Water Tower photo stop | Old town walk & lion monument | Lake cruise (1h) or Rigi/Pilatus day trip | Dinner at a lakeside restaurant,"https://maps.google.com/?q=47.0502,8.3093",https://www.sbb.ch/en/buying/pages/fahrplan/fahrplan.xhtml?nach=Luzern,https://www.luzern.com/en/webcams/,baseline
pilatus,Pilatus,"Central Switzerland, NW/OW",CH,46.97900,8.25500,2128,nature|viewpoint|mountain|family,Gondola from Kriens or rack railway from Alpnachstad | Summit terrace and restaurant | Golden roundtrip option (boat + rail + gondola),"https://maps.google.com/?q=46.979,8.255",https://www.sbb.ch/en,,baseline
rigi,Rigi Kulm,"Central Switzerland, SZ",CH,47.05700,8.48500,1798,nature|viewpoint|mountain|family,Rack railway from Vitznau or Arth-Goldau | Summit panorama (360 degree view) | Multiple restaurants | Descent via different route,"https://maps.google.com/?q=47.057,8.485",https://www.sbb.ch/en,https://www.rigi.ch/en/Discover/Webcams,baseline
napf,Napf,"Emmental, BE/LU",CH,47.00300,7.94400,1408,nature|viewpoint|mountain,Hike from Mettlenalp (1h) or Luthern (2h) | 360-degree summit panorama | Berggasthaus Napf for Rosti,"https://maps.google.com/?q=47.003,7.944",https://www.sbb.ch/en,,baseline
arosa-weisshorn,Arosa Weisshorn,Engadin & Grisons,CH,46.38569,9.82317,1392,food|town|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.38569,9.82317",https://www.sbb.ch/en,,candidate
bergun-alpine-view,Bergün Alpine View,Engadin & Grisons,CH,46.83842,9.60945,2500,town|nature|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.83842,9.60945",https://www.sbb.ch/en,,candidate
corvatsch,Corvatsch,Engadin & Grisons,CH,47.01480,9.35167,1089,mountain|food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.01480,9.35167",https://www.sbb.ch/en,,candidate
corviglia,Corviglia,Engadin & Grisons,CH,46.69878,9.50063,1394,food|mountain|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.69878,9.50063",https://www.sbb.ch/en,,candidate
davos-parsenn,Davos Parsenn,Engadin & Grisons,CH,46.93122,9.52681,2410,town|nature|mountain|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.93122,9.52681",https://www.sbb.ch/en,,candidate
diavolezza,Diavolezza,Engadin & Grisons,CH,46.41353,9.44055,2020,food|town|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.41353,9.44055",https://www.sbb.ch/en,,candidate
engadin-grisons-panorama-01,Engadin & Grisons Panorama 01,Engadin & Grisons,CH,46.81474,9.63327,1700,nature|town|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.81474,9.63327",https://www.sbb.ch/en,,candidate
engadin-grisons-panorama-02,Engadin & Grisons Panorama 02,Engadin & Grisons,CH,46.94662,9.67190,2446,food|town|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.94662,9.67190",https://www.sbb.ch/en,,candidate
